Station Name, Address, Branches,Farezone,Milepost,Parking Capacity
Schiller Park,4555 Ruby St.,NCS,C,14.8,102 (2014)
South Shore,71st St. (near Yates and South Shore Dr.),Elec-SC,B,10.3,9 (2014)
State Street,State St. (S. of 120th Pl.),Elec-BI,D,15.6,0 (2014)
Stewart Ridge,Stewart Ridge (S. of 120th Pl.),Elec-BI,D,16.0,0 (2014)
Stone Avenue (LaGrange),701 Burlington Ave.,BNSF,C,14.2,436 (2014)
Stony Island,71st St. (at Stony Island Ave.),Elec-SC,B,9.1,0 (2014)
Summit,Center St. and Hanover Ave.,Heritage,C,11.9,150 (2014)
Tinley Park,17381 S. Oak Park Ave.,RI-Main,E,23.5,784 (2014)
Union Station,Canal St. (between Adams and Jackson Blvd.),"SWS, Heritage, BNSF, Milw-W, Milw-N, NCS",A,0.0,0 (2014)
University Park,1900 University Pkwy.,Elec-ML,G,31.5,1066 (2014)
Van Buren Street,Michigan Ave. (between Jackson and Van Buren Sts.),"So Shore, Elec-ML",A,0.8,0 (2014)
Vernon Hills,75 East Route 45,NCS,G,33.0,647 (2014)
Villa Park,Ardmore Ave. and 1st St.,UP-W,D,17.8,496 (2014)
Washington St. (Grayslake),330 W. Washington St.,NCS,I,43.9,149 (2014)
Waukegan,95 N. Spring St.,UP-N,H,35.9,438 (2014)
West Chicago,508 W. Main St.,UP-W,F,29.8,469 (2014)
West Hinsdale,Hinsdale Ave. and Stough St.,BNSF,D,17.8,153 (2014)
West Pullman,Halsted St.,Elec-BI,D,16.7,27 (2014)
Western Avenue (18th),18th and Western Ave.,BNSF,A,3.8,0 (2014)
Western Avenue (Grand),420 N. Artesian (near Grand Ave.),"Milw-W, Milw-N, NCS",A,2.9,20 (2014)
Western Springs,914 Burlington Ave.,BNSF,D,15.5,408 (2014)
Westmont,1 W. Quincy,BNSF,D,19.5,554 (2014)
Wheaton,402 Front St. (at West St.),UP-W,E,25.0,701 (2014)
Wheeling,400 Town Street,NCS,F,27.2,482 (2014)
Willow Springs,87th St. and Archer,Heritage,D,17.5,150 (2014)
Wilmette,722 Green Bay Rd.,UP-N,C,14.4,386 (2014)
Windsor Park,75th St. (at Exchange Ave.),Elec-SC,B,10.9,27 (2014)
Winfield,Jewell Rd. and Winfield Rd.,UP-W,F,27.5,352 (2014)
Winnetka,754 Elm St.,UP-N,D,16.6,231 (2014)
Winthrop Harbor,701 N. Main St.,UP-N,I,44.5,107 (2014)
Wood Dale,301 W. Wood Dale Ave.,Milw-W,D,19.1,464 (2014)
Woodstock,90 Church Street,UP-NW,K,51.6,437 (2014)
Worth,110th St. and Depot Rd.,SWS,D,18.2,468 (2014)
Wrightwood,79th St. and Kedzie Ave.,SWS,C,11.9,180 (2014)
Zion,2501 S. Eden Rd.,UP-N,I,42.1,100 (2014)
